A	B	TR	RP	Y
1	1	1	1	2.91
1	1	1	2	2.96
1	1	1	3	2.93
1	1	1	4	2.89
1	2	2	1	3.11
1	2	2	2	3.06
1	2	2	3	3.07
1	2	2	4	3.08
1	3	3	1	2.74
1	3	3	2	2.75
1	3	3	3	2.67
1	3	3	4	2.70
1	4	4	1	2.67
1	4	4	2	2.64
1	4	4	3	2.63
1	4	4	4	2.70
2	1	5	1	2.75
2	1	5	2	2.74
2	1	5	3	2.77
2	1	5	4	2.81
2	2	6	1	3.00
2	2	6	2	2.93
2	2	6	3	2.94
2	2	6	4	2.92
2	3	7	1	3.13
2	3	7	2	3.11
2	3	7	3	3.18
2	3	7	4	3.09
2	4	8	1	3.12
2	4	8	2	3.09
2	4	8	3	3.08
2	4	8	4	3.15
3	1	9	1	3.36
3	1	9	2	3.34
3	1	9	3	3.40
3	1	9	4	3.44
3	2	10	1	3.03
3	2	10	2	2.98
3	2	10	3	2.99
3	2	10	4	3.00
3	3	11	1	2.63
3	3	11	2	2.74
3	3	11	3	2.68
3	3	11	4	2.63
3	4	12	1	2.62
3	4	12	2	2.52
3	4	12	3	2.58
3	4	12	4	2.56
