A	B	TR	BL	Y
2	8	1	1	42.9
2	8	1	2	41.6
2	8	1	3	28.9
2	8	1	4	30.8
2	8	1	5	41.7
2	12	2	1	53.8
2	12	2	2	58.5
2	12	2	3	43.9
2	12	2	4	46.3
2	12	2	5	55.2
4	8	3	1	49.5
4	8	3	2	53.8
4	8	3	3	40.7
4	8	3	4	39.4
4	8	3	5	50.8
4	12	4	1	53.3
4	12	4	2	65.6
4	12	4	3	45.4
4	12	4	4	35.1
4	12	4	5	51.4
6	8	5	1	57.6
6	8	5	2	69.6
6	8	5	3	42.4
6	8	5	4	51.9
6	8	5	5	56.3
6	12	6	1	59.8
6	12	6	2	65.8
6	12	6	3	41.4
6	12	6	4	45.4
6	12	6	5	60.0
8	8	7	1	61.5
8	8	7	2	60.9
8	8	7	3	51.1
8	8	7	4	55.4
8	8	7	5	60.5
8	12	8	1	67.4
8	12	8	2	63.2
8	12	8	3	58.7
8	12	8	4	59.3
8	12	8	5	66.1
