A	B	TR	RP	Y
1	1	1	1	3.81
1	1	1	2	3.70
1	1	1	3	3.53
1	1	1	4	3.50
1	2	2	1	4.55
1	2	2	2	5.21
1	2	2	3	4.79
1	2	2	4	5.33
1	3	3	1	5.30
1	3	3	2	5.38
1	3	3	3	5.40
1	3	3	4	5.32
1	4	4	1	6.79
1	4	4	2	6.88
1	4	4	3	6.59
1	4	4	4	6.00
2	1	5	1	5.09
2	1	5	2	5.53
2	1	5	3	5.79
2	1	5	4	5.69
2	2	6	1	6.40
2	2	6	2	6.95
2	2	6	3	6.50
2	2	6	4	6.23
2	3	7	1	6.20
2	3	7	2	6.20
2	3	7	3	6.89
2	3	7	4	6.17
2	4	8	1	5.49
2	4	8	2	5.71
2	4	8	3	5.52
2	4	8	4	5.29
3	1	9	1	7.36
3	1	9	2	6.67
3	1	9	3	6.95
3	1	9	4	6.76
3	2	10	1	5.93
3	2	10	2	5.87
3	2	10	3	6.18
3	2	10	4	5.76
3	3	11	1	4.67
3	3	11	2	5.07
3	3	11	3	4.59
3	3	11	4	5.10
3	4	12	1	3.63
3	4	12	2	4.05
3	4	12	3	4.29
3	4	12	4	4.07
